#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 204  0.821851  3.7274  3.0439  1.1717  3.4779  2.3293  1.8447  1.6570  1.6629
 205  0.822008  3.7268  3.0220  1.1915  3.4343  2.2819  1.7957  1.6072  1.6124
 206  0.822160  3.7263  2.9997  1.2117  3.3901  2.2337  1.7458  1.5565  1.5610
 207  0.822308  3.7256  2.9767  1.2322  3.3457  2.1850  1.6951  1.5048  1.5085
 208  0.822452  3.7250  2.9534  1.2530  3.3009  2.1357  1.6438  1.4524  1.4553
 209  0.822591  3.7243  2.9296  1.2742  3.2557  2.0857  1.5916  1.3993  1.4013
 210  0.822726  3.7236  2.9056  1.2956  3.2101  2.0352  1.5388  1.3453  1.3465
 211  0.822858  3.7229  2.8812  1.3172  3.1641  1.9841  1.4854  1.2908  1.2910
 212  0.822984  3.7222  2.8564  1.3391  3.1179  1.9325  1.4313  1.2355  1.2347
 213  0.823107  3.7215  2.8315  1.3613  3.0713  1.8804  1.3766  1.1796  1.1779
 214  0.823226  3.7207  2.8061  1.3837  3.0246  1.8280  1.3214  1.1231  1.1204
 215  0.823341  3.7200  2.7806  1.4063  2.9775  1.7750  1.2656  1.0660  1.0623
 216  0.823451  3.7192  2.7548  1.4291  2.9302  1.7217  1.2094  1.0083  1.0037
 217  0.823472  3.7191  2.7497  1.4335  2.9210  1.7113  1.1983  0.9970  0.9922
 218  0.823494  3.7189  2.7445  1.4380  2.9121  1.7011  1.1874  0.9857  0.9806
 219  0.823515  3.7187  2.7393  1.4425  2.9031  1.6907  1.1763  0.9744  0.9690
 220  0.823536  3.7185  2.7342  1.4470  2.8938  1.6802  1.1651  0.9629  0.9573
 221  0.823556  3.7184  2.7289  1.4516  2.8848  1.6697  1.1540  0.9514  0.9456
 222  0.823577  3.7181  2.7235  1.4561  2.8762  1.6595  1.1428  0.9399  0.9338
 223  0.823598  3.7180  2.7183  1.4607  2.8667  1.6488  1.1315  0.9283  0.9220
 224  0.823618  3.7179  2.7133  1.4653  2.8567  1.6378  1.1200  0.9166  0.9102
 225  0.823639  3.7178  2.7082  1.4700  2.8465  1.6267  1.1085  0.9049  0.8983
 226  0.823659  3.7176  2.7030  1.4746  2.8369  1.6158  1.0971  0.8932  0.8864
 227  0.823846  3.7161  2.6519  1.5195  2.7456  1.5117  0.9863  0.7795  0.7706
 228  0.824013  3.7145  2.6018  1.5633  2.6572  1.4104  0.8786  0.6688  0.6578
 229  0.824167  3.7129  2.5520  1.6070  2.5690  1.3093  0.7711  0.5585  0.5454
 230  0.824312  3.7113  2.5009  1.6518  2.4791  1.2059  0.6611  0.4455  0.4302
 231  0.824445  3.7096  2.4493  1.6964  2.3920  1.1041  0.5521  0.3333  0.3155
 232  0.824565  3.7078  2.3984  1.7402  2.3076  1.0045  0.4452  0.2231  0.2029
 233  0.824674  3.7059  2.3478  1.7835  2.2270  0.9071  0.3400  0.1144  0.0916
 234  0.824775  3.7041  2.2972  1.8268  2.1459  0.8093  0.2344  0.0053 -0.0200
 235  0.824869  3.7022  2.2464  1.8702  2.0655  0.7118  0.1290 -0.1036 -0.1315
 236  0.824953  3.7004  2.1972  1.9122  1.9885  0.6181  0.0273 -0.2088 -0.2394
 237  0.825031  3.6986  2.1480  1.9541  1.9117  0.5251 -0.0740 -0.3137 -0.3470
 238  0.825102  3.6968  2.1000  1.9949  1.8358  0.4355 -0.1721 -0.4155 -0.4516
 239  0.825168  3.6949  2.0525  2.0351  1.7615  0.3475 -0.2687 -0.5159 -0.5549
 240  0.825228  3.6932  2.0092  2.0717  1.6948  0.2679 -0.3566 -0.6072 -0.6490
 241  0.825284  3.6918  1.9744  2.1009  1.6433  0.2052 -0.4264 -0.6801 -0.7241
 242  0.825338  3.6916  1.9656  2.1088  1.6274  0.1870 -0.4457 -0.6999 -0.7443
 243  0.825394  3.6917  1.9628  2.1120  1.6187  0.1785 -0.4540 -0.7079 -0.7522
 244  0.825452  3.6896  1.9137  2.1528  1.5505  0.0918 -0.5514 -0.8098 -0.8574
 245  0.825504  3.6871  1.8578  2.1987  1.4812 -0.0041 -0.6604 -0.9244 -0.9758
 246  0.825551  3.6846  1.8033  2.2434  1.4174 -0.0964 -0.7662 -1.0357 -1.0909
 247  0.825593  3.6822  1.7501  2.2867  1.3586 -0.1851 -0.8684 -1.1435 -1.2025
 248  0.825631  3.6798  1.6978  2.3294  1.3021 -0.2715 -0.9686 -1.2494 -1.3121
 249  0.825666  3.6774  1.6469  2.3708  1.2486 -0.3548 -1.0657 -1.3521 -1.4186
 250  0.825698  3.6750  1.5969  2.4114  1.1984 -0.4355 -1.1604 -1.4525 -1.5228
 251  0.825727  3.6728  1.5482  2.4510  1.1511 -0.5136 -1.2524 -1.5502 -1.6242
 252  0.825753  3.6705  1.5009  2.4894  1.1074 -0.5886 -1.3413 -1.6447 -1.7225
 253  0.825778  3.6682  1.4533  2.5277  1.0672 -0.6621 -1.4293 -1.7387 -1.8204
