#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 202  1.070530  3.6633  3.0020  1.0723  5.8822  3.1353  2.1640  1.8396  1.7701
 203  1.070752  3.6621  2.9670  1.1022  5.8404  3.0734  2.0952  1.7672  1.6951
 204  1.070965  3.6607  2.9311  1.1328  5.7990  3.0106  2.0249  1.6932  1.6183
 205  1.071169  3.6593  2.8943  1.1640  5.7581  2.9471  1.9538  1.6179  1.5401
 206  1.071365  3.6578  2.8568  1.1958  5.7176  2.8833  1.8818  1.5416  1.4607
 207  1.071552  3.6563  2.8184  1.2280  5.6777  2.8190  1.8090  1.4642  1.3799
 208  1.071732  3.6547  2.7794  1.2607  5.6386  2.7545  1.7358  1.3859  1.2981
 209  1.071904  3.6530  2.7397  1.2938  5.6000  2.6899  1.6621  1.3069  1.2153
 210  1.072070  3.6513  2.6996  1.3272  5.5622  2.6255  1.5884  1.2276  1.1318
 211  1.072231  3.6496  2.6590  1.3608  5.5250  2.5613  1.5148  1.1479  1.0478
 212  1.072391  3.6478  2.6182  1.3946  5.4889  2.4978  1.4415  1.0682  0.9635
 213  1.072592  3.6459  2.5781  1.4275  5.4553  2.4369  1.3709  0.9908  0.8814
 214  1.072805  3.6464  2.5759  1.4314  5.4365  2.4220  1.3583  0.9798  0.8715
 215  1.072986  3.6486  2.6270  1.3894  5.4808  2.5006  1.4490  1.0788  0.9764
 216  1.073116  3.6489  2.6243  1.3932  5.4656  2.4879  1.4377  1.0684  0.9668
 217  1.073148  3.6489  2.6214  1.3960  5.4599  2.4812  1.4309  1.0615  0.9597
 218  1.073179  3.6486  2.6143  1.4020  5.4527  2.4696  1.4178  1.0474  0.9449
 219  1.073207  3.6482  2.6059  1.4089  5.4454  2.4566  1.4028  1.0310  0.9277
 220  1.073233  3.6478  2.5970  1.4161  5.4388  2.4436  1.3875  1.0142  0.9097
 221  1.073259  3.6473  2.5880  1.4233  5.4328  2.4309  1.3723  0.9973  0.8916
 222  1.073285  3.6469  2.5790  1.4305  5.4267  2.4181  1.3571  0.9805  0.8736
 223  1.073310  3.6464  2.5703  1.4376  5.4201  2.4054  1.3421  0.9640  0.8560
 224  1.073336  3.6461  2.5617  1.4446  5.4131  2.3925  1.3272  0.9476  0.8385
 225  1.073361  3.6457  2.5533  1.4515  5.4063  2.3799  1.3125  0.9314  0.8214
 226  1.073387  3.6453  2.5449  1.4584  5.3994  2.3673  1.2978  0.9153  0.8042
 227  1.073619  3.6415  2.4649  1.5234  5.3359  2.2499  1.1608  0.7637  0.6419
 228  1.073819  3.6377  2.3874  1.5858  5.2772  2.1403  1.0322  0.6199  0.4865
 229  1.073993  3.6340  2.3122  1.6460  5.2227  2.0375  0.9111  0.4825  0.3370
 230  1.074146  3.6302  2.2376  1.7055  5.1705  1.9387  0.7946  0.3481  0.1897
 231  1.074278  3.6264  2.1650  1.7629  5.1213  1.8461  0.6853  0.2196  0.0475
 232  1.074396  3.6226  2.0931  1.8197  5.0730  1.7572  0.5805  0.0938 -0.0929
 233  1.074499  3.6187  2.0226  1.8749  5.0249  1.6728  0.4808 -0.0281 -0.2303
 234  1.074590  3.6149  1.9531  1.9290  4.9785  1.5941  0.3882 -0.1456 -0.3650
